Start_Time Number_of_Events Sampled_Luminosity Prescale Livetime
7647685 13192 0.00219866666666667 1022.14270020 0.76294402978805
7649099 3282 0.000547 1044.27868652 0.752123273205999
7649910 4023 0.0006705 1118.26000977 0.835470270794305
7650389 19869 0.0033115 1148.87731934 0.910436568293173
7652396 4126 0.000687666666666667 1170.07067871 0.852962400169623
7653028 12946 0.00215766666666667 1126.35607910 0.847805853185829
7660806 13786 0.00229766666666667 930.88140869 0.877244200531577
7671610 20846 0.00347433333333333 967.43865967 0.894873751642829
7673255 15433 0.00257216666666667 1035.09204102 0.892325513308042
7674608 9614 0.00160233333333333 1133.81860352 0.900235415228341
7675554 18620 0.00310333333333333 1174.32800293 0.920685197966889
7677424 17009 0.00283483333333333 1077.11608887 0.91937226420301
7679297 13156 0.00219266666666667 852.20928955 0.844626911829906
7680854 13753 0.00229216666666667 685.07598877 0.904895128537801
7682309 19063 0.00317716666666667 563.70532227 0.886762077215653
7684314 18684 0.003114 524.47735596 0.877511916218998
7686085 13456 0.00224266666666667 517.02264404 0.760576246258322
7687536 19914 0.003319 534.63732910 0.845175400714965
7689411 19021 0.00317016666666667 571.26666260 0.877800564133988
7691304 22623 0.0037705 534.15863037 0.881562055178655
7693526 19463 0.00324383333333333 483.88931274 0.894613395375577
7695424 20135 0.00335583333333333 444.26803589 0.90020579227409
7697292 19263 0.0032105 433.71734619 0.906398710117981
7699167 22601 0.00376683333333333 376.46798706 0.913610729318787
7701243 23808 0.003968 366.08798218 0.901295979592592
7703360 26634 0.004439 392.70132446 0.909031270158658
7705802 7648 0.00127466666666667 351.01867676 0.913978798509569
7725894 22752 0.003792 999.95202637 0.880755949017392
7727766 21017 0.00350283333333333 1072.00671387 0.883473504032187
7729674 19758 0.003293 1179.69604492 0.880640725104212
7731761 17330 0.00288833333333333 1043.21203613 0.933526712410752
7733712 19311 0.0032185 802.28668213 0.94080922783062
7735699 9751 0.00162516666666667 670.06402588 0.846310749664166
7736736 6063 0.0010105 666.05468750 0.864119507603038
7737653 18680 0.00311333333333333 649.88537598 0.852153336993366
7739648 8695 0.00144916666666667 565.71197510 0.87578145490072
7740556 20833 0.00347216666666667 536.80670166 0.883579088980199
7742820 18134 0.00302233333333333 469.28802490 0.890665594091711
7744543 20174 0.00336233333333333 472.81066895 0.833342798296167
7746513 10682 0.00178033333333333 527.80804443 0.86347202175133
7747690 18507 0.0030845 538.38134766 0.870400906175206
7749557 10999 0.00183316666666667 472.09069824 0.858554303662651
7750876 20682 0.003447 442.66665649 0.881366094514723
7752748 20503 0.00341716666666667 440.63601685 0.89188736378493
7754611 6324 0.001054 411.45599365 0.833933678090846
7755302 20077 0.00334616666666667 400.84667969 0.910539234821468
7757304 17939 0.00298983333333333 341.45599365 0.911186911783608
7758834 25224 0.004204 336.64932251 0.905645258569615
7764940 3062 0.000510333333333333 828.37731934 0.891215682911898
7765796 12407 0.00206783333333333 847.14263916 0.923205131065607
7767198 19374 0.003229 949.30273438 0.914808208355777
7768977 11045 0.00184083333333333 1000.53332520 0.888734860193156
7776437 26040 0.00434 958.44268799 0.900276731220451
7778478 20979 0.0034965 1063.27868652 0.90523081718164
7780367 20942 0.00349033333333333 1160.47473145 0.915912030804083
7782590 17692 0.00294866666666667 980.16802979 0.925990633641265
7784505 1 1.66666666666667e-07 765.11871338 0.000834156874911397
7784618 18141 0.0030235 757.19732666 0.933118147419379
7786470 15554 0.00259233333333333 665.02935791 0.883949704647697
7788071 19918 0.00331966666666667 633.13867188 0.874618424946944
7805832 0 0 1.00000000 1
7806950 0 0 887.18939209 1
7807327 0 0 793.42535400 0
7807473 25493 0.00424883333333333 772.31066895 0.88459363916955
7809541 9244 0.00154066666666667 936.01867676 0.917532941784933
7818351 0 0 12.68266678 1
7818503 0 0 3.37333345 1
7823358 26084 0.00434733333333333 891.05200195 0.925692081485278
7825182 20782 0.00346366666666667 1036.62268066 0.911991251343992
7828355 23488 0.00391466666666667 1107.02795410 0.919573319967443
7830896 18671 0.00311183333333333 906.38140869 0.923280772429398
7832792 14408 0.00240133333333333 844.16400146 0.916160481177162
7834318 12569 0.00209483333333333 786.89605713 0.934329333110126
7835868 17416 0.00290266666666667 716.17199707 0.877392887647201
7837720 18404 0.00306733333333333 652.95330811 0.883275688485862
7839750 18780 0.00313 621.19470215 0.880050617067131
7841606 13090 0.00218166666666667 594.98931885 0.826517811291545
